@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
11,'2017/07/23 11:19:03:000',1,83.542717,794.998413,2688.350098,86.114006,585.148193,2674.365723,-65.208565,584.045654,2671.431641,-65.208397,301.760406,2671.431641,-65.206543,19.47522,2671.422607,237.436569,586.250671,2677.299805,237.436401,303.965424,2677.299805,237.437256,21.680237,2677.299805,87.994507,370.135437,2658.168945,-9.700996,154.397217,2640.041504,14.611704,-262.5513,2748.712891,4.347038,-606.784546,2656.077148,189.451019,155.848206,2643.902832,154.399231,-259.729675,2755.216797,176.313492,-608.686279,2694.08667,0,?
12,'2017/07/23 11:19:03:032',1,82.514091,795.0224,2688.39917,86.172089,584.723083,2674.173828,-65.102188,581.597778,2670.366211,-65.10202,299.312531,2670.366211,-65.100372,17.027344,2670.358154,237.446365,587.848389,2677.981445,237.446198,305.563141,2677.981445,237.447052,23.277954,2677.981445,91.014481,369.737488,2658.245117,-3.702574,152.695007,2639.810547,21.36944,-264.876556,2746.197266,14.315773,-603.918945,2657.914307,195.416321,156.808777,2644.822266,162.859283,-259.692566,2753.497803,183.729126,-607.193726,2697.654541,0,?
13,'2017/07/23 11:19:03:063',1,81.920357,795.845581,2687.468994,86.699265,585.51062,2674.83252,-64.43071,580.766296,2668.109375,-64.430542,298.481049,2668.109375,-64.429131,16.195862,2668.102051,237.829239,590.255005,2681.555664,237.829071,307.969757,2681.555664,237.829926,25.68457,2681.555664,94.083374,370.480286,2660.584229,2.004176,152.32753,2641.911377,21.320774,-265.875305,2747.030518,13.362289,-603.881226,2661.672119,200.930801,158.572342,2650.760498,161.896896,-255.802811,2765.037109,182.910965,-602.711487,2701.809326,0,?
14,'2017/07/23 11:19:03:099',1,81.369377,797.880432,2686.942139,85.111641,587.422241,2674.482666,-66.157814,584.128906,2670.674561,-66.157646,301.843658,2670.674561,-66.156433,19.558472,2670.667969,236.381104,590.715576,2678.290771,236.380936,308.430328,2678.290771,236.38179,26.145142,2678.290771,90.143631,372.298584,2660.63623,-4.365349,155.007813,2644.283936,6.13947,-264.049438,2746.999512,1.458646,-599.471924,2661.135742,194.716583,159.342041,2649.295654,150.750443,-256.217255,2757.23999,170.51152,-604.374146,2693.961426,0,?
15,'2017/07/23 11:19:03:131',1,80.506981,795.72467,2687.736084,85.559906,585.313843,2674.784912,-65.576584,580.444336,2668.331055,-65.576416,298.159088,2668.331055,-65.575371,15.873901,2668.325195,236.696381,590.183472,2681.23877,236.696213,307.898224,2681.23877,236.697067,25.613037,2681.23877,93.097191,370.292145,2660.512695,1.186687,152.066254,2641.993896,18.990299,-266.526001,2745.626221,14.45892,-603.41156,2655.580566,200.082275,158.474579,2650.487061,162.877975,-258.409027,2755.855713,181.219025,-603.831482,2695.886475,0,?
16,'2017/07/23 11:19:03:164',1,80.255768,793.169495,2688.073486,85.509727,582.634888,2674.589355,-65.666359,578.896851,2668.324951,-65.666191,296.611603,2668.324951,-65.665283,14.326416,2668.31958,236.685806,586.372925,2680.85376,236.685638,304.087677,2680.85376,236.686493,21.80249,2680.85376,91.457924,367.631531,2659.335693,-2.067482,150.168579,2639.959961,11.486824,-268.875671,2742.588135,5.197411,-602.530273,2654.885742,196.879715,155.087769,2648.204102,154.872284,-261.787476,2751.932129,171.716904,-605.259521,2692.551025,0,?
17,'2017/07/23 11:19:03:200',1,80.096939,794.993103,2688.305664,85.964355,584.410461,2675.237061,-65.099503,579.114807,2667.562256,-65.099335,296.829559,2667.562256,-65.098526,14.544373,2667.557373,237.028214,589.706116,2682.911865,237.028046,307.420868,2682.911865,237.0289,25.135681,2682.911865,94.259956,369.465973,2660.265137,3.137964,151.036301,2640.242432,20.001719,-266.612549,2747.94165,12.433638,-599.829712,2656.242188,201.97316,158.006638,2650.343994,162.880386,-258.732239,2755.884033,181.020157,-601.912231,2696.056396,0,?
18,'2017/07/23 11:19:03:232',1,78.497147,794.433716,2689.399658,85.553612,583.973633,2675.603271,-65.506645,577.668457,2668.668945,-65.506477,295.383209,2668.668945,-65.505768,13.098022,2668.664551,236.613861,590.278809,2682.537598,236.613693,307.993561,2682.537598,236.614548,25.708374,2682.537598,95.233536,369.126709,2660.085205,5.49583,150.130127,2640.003418,16.90579,-266.888855,2750.80835,10.969477,-602.14978,2654.735596,204.3311,158.429443,2649.130859,159.773102,-257.517273,2755.602783,177.831543,-603.881226,2690.74707,0,?
19,'2017/07/23 11:19:03:264',1,78.900681,794.501709,2689.454102,85.356667,584.200012,2675.615234,-65.695839,577.579041,2668.820801,-65.695671,295.293793,2668.820801,-65.695068,13.008606,2668.816895,236.409164,590.821045,2682.409668,236.408997,308.535797,2682.409668,236.409851,26.25061,2682.409668,95.452515,369.341614,2660.538574,6.128266,150.125381,2640.98999,12.941269,-267.120361,2751.398926,8.451637,-602.015015,2655.986816,204.968475,158.841019,2649.933838,157.943924,-256.645203,2757.242188,176.875076,-605.119629,2693.285645,0,?
20,'2017/07/23 11:19:03:299',1,77.939377,793.605164,2688.987061,84.638626,583.536011,2675.54126,-66.331573,576.624023,2667.362061,-66.331406,294.338776,2667.362061,-66.330902,12.053589,2667.358643,235.608826,590.447998,2683.720459,235.608658,308.16275,2683.720459,235.609512,25.877563,2683.720459,95.26857,368.673676,2660.906982,6.525491,149.261688,2640.888916,12.470373,-268.502441,2749.490723,8.336954,-601.765625,2654.449463,205.271545,158.360992,2651.656494,157.608841,-256.997131,2759.260498,176.944824,-607.110229,2694.499756,0,?
